sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
189511,https://sofifa.com/player/189511/sergio-busquets-burgos/15/157759,Sergio Busquets,Sergio Busquets i Burgos,25,1988-07-16,189,73,Spain,FC Barcelona,85,89,0,0,"CDM, CM",Right,4,3,3,Medium/Medium,Lean,Yes,,#Tactician ,CDM,5,,2008-09-01,2018,RCM,16,56,59,78,75,81,81,,,,,,,Diver,62,60,70,85,44,74,66,68,78-1,83-1,59,54,57,84-2,55-2,61,66,86,77-1,54,86,88+2,77,85-1,60,,78-1,84-1,79,5,8,13,9,13,68+2,68+2,68+2,71+2,71+2,71+2,71+2,71+2,76+2,76+2,76+2,75+2,81+2,81+2,81+2,75+2,79+2,83+2,83+2,83+2,79+2,79+2,80+2,80+2,80+2,79+2
182521,https://sofifa.com/player/182521/toni-kroos/15/157759,T. Kroos,Toni Kroos,24,1990-01-04,182,78,Germany,Real Madrid,85,88,0,0,"CM, CDM, CAM",Right,4,5,3,Medium/Medium,Normal,Yes,,"#Playmaker  , #Distance Shooter, #Crosser, #Complete Midfielder",LCM,8,,2014-07-17,2020,LCM,18,58,81,89,84,58,69,,,,,,,"Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",86,76,54+6,91+3,84+1,84,88+2,83,90+3,86-1,63+1,54+1,75,87+1,78,87-1,54,75+1,74+6,88-2,54+1,72+7,75,88+2,73,,44+8,63+4,59+5,10,11,13,7,10,77+2,77+2,77+2,81+2,80+2,80+2,80+2,81+2,84+2,84+2,84+2,82+2,83+2,83+2,83+2,82+2,74+2,76+2,76+2,76+2,74+2,68+2,63+2,63+2,63+2,68+2
165153,https://sofifa.com/player/165153/karim-benzema/15/157759,K. Benzema,Karim Benzema,26,1987-12-19,184,79,France,Real Madrid,85,87,0,0,ST,Right,4,4,4,Medium/Low,Normal,Yes,,#Poacher,ST,9,,2009-07-01,2019,ST,10,84,84,75,82,30,74,,,,,,,"Beat Offside Trap, Finesse Shot",75,88,78,84,77,82,80,73,47,85,83,84,79,83,71,83,71,74,78+3,78,65,22,87,81,82,,25,25,25,13,11,5,5,7,83+2,83+2,83+2,82+2,83+2,83+2,83+2,82+2,83+2,83+2,83+2,79+2,70+2,70+2,70+2,79+2,58+2,58+2,58+2,58+2,58+2,53+2,49+2,49+2,49+2,53+2
179813,https://sofifa.com/player/179813/edinson-cavani/15/157759,E. Cavani,Edinson Roberto Cavani Gómez,27,1987-02-14,184,71,Uruguay,Paris Saint-Germain,85,87,0,0,"ST, RW",Right,4,3,3,Medium/Medium,Lean,Yes,,,RW,9,,2013-07-16,2018,LS,21,79,83,70,80,41,81,,,,,,,Beat Offside Trap,70,83-7,84-1,74,82-1,80,75,77+4,50,83-1,76-3,82-4,83,85-1,59,85,83-9,90-4,76,82+2,82-4,48-7,85-5,75,82,,24,45,27,12,5,13,13,10,83+2,83+2,83+2,79+2,82+2,82+2,82+2,79+2,80+2,80+2,80+2,77+2,72+2,72+2,72+2,77+2,63+2,63+2,63+2,63+2,63+2,60+2,56+2,56+2,56+2,60+2
179844,https://sofifa.com/player/179844/diego-da-silva-costa/15/157759,Diego Costa,Diego da Silva Costa,25,1988-10-07,188,81,Spain,Chelsea,85,87,0,0,ST,Right,3,4,3,High/Medium,Normal,Yes,,#Strength,ST,19,,2014-07-15,2019,ST,19,82,83,63,79,40,88,,,,,,,Diver,63,90+2,82,65,81,82,58,59,48,82-1,79+3,85,63,85,62,82,60,85+9,91,69,89,40,87,74,76-3,,28,39,34,11,13,12,8,11,84+1,84+1,84+1,76+1,81+1,81+1,81+1,76+1,78+1,78+1,78+1,74+1,68+1,68+1,68+1,74+1,60+1,62+1,62+1,62+1,60+1,59+1,57+1,57+1,57+1,59+1
181872,https://sofifa.com/player/181872/arturo-vidal/15/157759,A. Vidal,Arturo Vidal,27,1987-05-22,180,75,Chile,Juventus,85,87,0,0,"CM, CDM",Right,4,4,3,High/High,Normal,Yes,,"#Engine, #Tactician ",SUB,23,,2011-07-01,2017,RCM,8,78,78,80,81,81,83,,,,,,,Long Shot Taker (CPU AI Only),76-1,78-1,71+2,85-1,78-1,80-1,76-1,65-4,79-1,84-1,79-2,77,79,84-1,78,77-1,81,93,75,78-1,89+1,86,79-1,80-1,86-2,,75,83-4,89,4-1,2-1,4-1,2-1,4-1,78+2,78+2,78+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,83+2,83+2,83+2,81+2,83+2,83+2,83+2,83+2,83+2,83+2,82+2,82+2,82+2,83+2
167948,https://sofifa.com/player/167948/hugo-lloris/15/157759,H. Lloris,Hugo Lloris,27,1986-12-26,188,78,France,Tottenham Hotspur,85,86,0,0,GK,Left,3,1,1,Medium/Medium,Lean,Yes,,,GK,1,,2012-08-01,2019,GK,1,,,,,,,86,81,71,88,64,81,Puncher,25,25,25,27,25,25,25,25,31,34,65,63,55,84,54,23,74,41-5,43,25,31,27,25,25,40,,25,25,25,86,81+1,71,81,88,,,,,,,,,,,,,,,,,,,,,,,,,,
177610,https://sofifa.com/player/177610/javier-martinez-aginaga/15/157759,Javi Martinez,Javier Martínez Aginaga,25,1988-09-02,190,81,Spain,FC Bayern München,85,86,0,0,"CB, CDM, CM",Right,3,3,2,Medium/Medium,Normal,Yes,,"#Tackling , #Tactician ",SUB,8,,2012-08-29,2017,,,53,61,72,68,84,85,,,,,,,Power Header,60,55,86,79-1,64,65,61-4,54+3,77-1,74-2,51-8,55,59-1,85,57-1,75,70+3,82-2,87,63,88,86,57-10,77-1,58,,79,87+1,88+3,5,12,9,11,8,67+1,67+1,67+1,66+1,68+1,68+1,68+1,66+1,70+1,70+1,70+1,69+1,76+1,76+1,76+1,69+1,77+1,82+1,82+1,82+1,77+1,81+1,84+1,84+1,84+1,81+1
178088,https://sofifa.com/player/178088/juan-manuel-mata-garcia/15/157759,Juan Mata,Juan Manuel Mata García,26,1988-04-28,174,63,Spain,Manchester United,85,86,0,0,"CAM, RM",Left,3,3,4,Medium/Medium,Lean,Yes,,"#Playmaker  , #Acrobat",CAM,8,,2014-01-25,2018,,,74,75,84,87,31,60,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,77-2,66,86-1,71,85-1,82,81,78,88-1,83-2,66-7,90,87-1,89,74,72,79,52,72,52,39,84-3,88-1,71,,25,22,25,9,10,14,5,8,78+1,78+1,78+1,84+1,80+1,80+1,80+1,84+1,84+1,84+1,84+1,84+1,77+1,77+1,77+1,84+1,61+1,63+1,63+1,63+1,61+1,54+1,46+1,46+1,46+1,54+1
183907,https://sofifa.com/player/183907/jerome-boateng/15/157759,J. Boateng,Jérôme Boateng,25,1988-09-03,192,90,Germany,FC Bayern München,85,86,0,0,"CB, RB",Right,4,4,3,Medium/Medium,Normal,Yes,,#Strength,CB,17,,2011-07-14,2018,RCB,20,77,50,66,69,83,82,,,,,,,"Long Passer (CPU AI Only), Giant Throw-in",68,34,83+3,76,58,67,56+2,26+2,74,76+1,68,85+6,64+2,79-2,53+1,78,78,73+5,88,58,81-5,82+1,47+4,52+4,46,,82,84,86+1,7,12,15,6,5,63+2,63+2,63+2,67+2,64+2,64+2,64+2,67+2,64+2,64+2,64+2,69+2,70+2,70+2,70+2,69+2,78+2,77+2,77+2,77+2,78+2,80+2,83+2,83+2,83+2,80+2
48940,https://sofifa.com/player/48940/petr-cech/15/157759,P. Čech,Petr Čech,32,1982-05-20,196,90,Czech Republic,Chelsea,85,85,0,0,GK,Left,4,3,1,Medium/Medium,Normal,Yes,,,SUB,1,,2004-07-01,2016,GK,1,,,,,,,83,84,73,84,49,83,"Puncher, GK Long Throw, One Club Player, Team Player",25,25,25,35,25,25,25,25,33,32,45,52,49,86+1,50,21,38,32,65,25,25,23,25,25,43,,25,25,25,83-1,84+1,73,83,84-1,,,,,,,,,,,,,,,,,,,,,,,,,,
143001,https://sofifa.com/player/143001/carlos-tevez/15/157759,C. Tévez,Carlos Alberto Tevez,30,1984-02-05,173,75,Argentina,Juventus,85,85,0,0,"ST, CF",Right,3,3,3,High/High,Stocky,Yes,,"#Dribbler, #Engine, #Clinical Finisher",RS,10,,2013-07-01,2016,,,86,86,78,87,46,84,,,,,,,"Leadership, Finesse Shot, Long Shot Taker (CPU AI Only), Outside Foot Shot, Technical Dribbler (CPU AI Only)",73-4,87,61-2,82-1,86-1,86-1,84-1,78-3,64-1,88-1,87,85,83,88+1,90,85-1,73+1,89+2,81,84,87-1,39-1,87-1,83-1,83-1,,35,55,55,4-1,2-1,3-1,2-1,4-1,84+1,84+1,84+1,84+1,85+1,85+1,85+1,84+1,85+1,85+1,85+1,82+1,77+1,77+1,77+1,82+1,69+1,69+1,69+1,69+1,69+1,65+1,62+1,62+1,62+1,65+1
152729,https://sofifa.com/player/152729/gerard-pique-bernabeu/15/157759,Piqué,Gerard Piqué Bernabéu,27,1987-02-02,192,85,Spain,FC Barcelona,84,89,0,0,CB,Right,4,3,2,High/Medium,Normal,Yes,,#Tactician ,RCB,3,,2008-07-01,2019,RCB,3,66,54,69,60,86,76,,,,,,,Long Passer (CPU AI Only),50,58,82-1,84-1,57,50-14,43,43,84,76,60,71+8,57,81-1,44,53,74,69-1,83-1,42,68-1,88-1,50,62-11,69,,86-3,87-3,83-4,10,11,14,15,8,63+2,63+2,63+2,61+2,62+2,62+2,62+2,61+2,64+2,64+2,64+2,66+2,72+2,72+2,72+2,66+2,75+2,81+2,81+2,81+2,75+2,79+2,82+2,82+2,82+2,79+2
143745,https://sofifa.com/player/143745/arda-turan/15/157759,A. Turan,Arda Turan,27,1987-01-30,177,76,Turkey,Atlético Madrid,84,88,0,0,"LM, RM, CAM",Right,3,4,4,High/High,Normal,Yes,,"#Dribbler, #Acrobat",LM,10,,2011-08-09,2017,LM,14,76,74,83,86,61,72,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",82-1,72,70,85-1,80,86-4,81,64,80,88-1,79-2,73,86+2,83,85,74,79-1,71,69+1,77,78,51,82,86-1,73,,58,64+4,70+3,11,7,11,12,11,78+1,78+1,78+1,83+1,80+1,80+1,80+1,83+1,83+1,83+1,83+1,83+1,79+1,79+1,79+1,83+1,74+1,73+1,73+1,73+1,74+1,70+1,69+1,69+1,69+1,70+1
184941,https://sofifa.com/player/184941/alexis-sanchez/15/157759,A. Sánchez,Alexis Alejandro Sánchez Sánchez,25,1988-12-19,171,62,Chile,Arsenal,84,88,0,0,"RW, ST",Right,3,3,4,High/Medium,Normal,Yes,,"#Dribbler, #Acrobat",RW,17,,2014-07-10,2019,RS,7,88,81,75,87,39,66,,,,,,,Flair,75,83+4,60+1,77,77+1,88+3,74,71+1,70,85+1,90+1,86,91,81,86,78+1,66,76,59-10,80+7,69,42,81-1,78,73,,30,39-3,35-1,10,10,15,12,13,80+1,80+1,80+1,83+1,81+1,81+1,81+1,83+1,82+1,82+1,82+1,81+1,74+1,74+1,74+1,81+1,63+1,63+1,63+1,63+1,63+1,58+1,51+1,51+1,51+1,58+1
188152,https://sofifa.com/player/188152/oscar-dos-santos-emboaba/15/157759,Oscar,Oscar dos Santos Emboaba Júnior,22,1991-09-09,179,67,Brazil,Chelsea,84,87,0,0,"CAM, RM",Right,3,3,4,Medium/High,Lean,Yes,,#Acrobat,CAM,8,,2012-07-26,2015,RW,11,81,75,80,85,43,44,,,,,,,"Beat Offside Trap, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",70,75,54,85,63+4,85,77,70,82,86,84,79,86,81,80,76,66,76,31,79+3,31,34,81,85,68,,37,50,47,12,10,15,12,12,75+1,75+1,75+1,81+1,80+1,80+1,80+1,81+1,83+1,83+1,83+1,81+1,77+1,77+1,77+1,81+1,65+1,63+1,63+1,63+1,65+1,58+1,49+1,49+1,49+1,58+1
165239,https://sofifa.com/player/165239/samir-nasri/15/157759,S. Nasri,Samir Nasri,27,1987-06-26,175,75,France,Manchester City,84,86,0,0,"LM, RM",Right,3,4,4,High/Medium,Normal,Yes,,#Dribbler,SUB,8,,2011-08-24,2019,,,79,76,84,86,39,60,,,,,,,"Flair, Technical Dribbler (CPU AI Only)",81,76,55,86+1,73,86,78,83,82,88,79,79-3,82,83,92,75,68,72,64,77,33,37,81,85-1,81-2,,35,37,44,5,9,13,15,8,77+1,77+1,77+1,83+1,80+1,80+1,80+1,83+1,83+1,83+1,83+1,83+1,77+1,77+1,77+1,83+1,65+1,64+1,64+1,64+1,65+1,57+1,50+1,50+1,50+1,57+1
177509,https://sofifa.com/player/177509/mehdi-benatia/15/157759,M. Benatia,Medhi Amine El Mouttaqi Benatia,27,1987-04-17,188,88,Morocco,FC Bayern München,84,86,0,0,CB,Right,2,3,2,High/High,Normal,No,,"#Tackling , #Tactician , #Strength, #Complete Defender",RCB,5,,2014-08-26,2019,,,75,45,54,64,88,84,,,,,,,Power Header,45-1,49-1,85-1,65-1,29-1,59-1,32-1,27-1,63-1,71-1,74,75,69,83-1,48,61-1,80,76,87+1,24,85-1,88-2,39-1,47-1,46-1,,88-2,88-1,86-1,7-1,4-1,8-1,7-1,11-1,60+0,60+0,60+0,59+0,58+0,58+0,58+0,59+0,58+0,58+0,58+0,62+0,64+0,64+0,64+0,62+0,75+0,76+0,76+0,76+0,75+0,80+0,84+0,84+0,84+0,80+0
179846,https://sofifa.com/player/179846/sami-khedira/15/157759,S. Khedira,Sami Khedira,27,1987-04-04,189,85,Germany,Real Madrid,84,86,0,0,"CDM, CM",Right,3,4,2,Medium/High,Normal,Yes,,"#Tactician , #Strength",SUB,6,,2010-07-01,2015,RCM,6,56,69,74,65,83,86,,,,,,,,55,62,80,85,78,60,67,58,75,77,58+2,55-6,52,83,59,82,62,88,89,74,80,89,66,79,61,,75,88,79,11,9,5,15,8,71+1,71+1,71+1,67+1,72+1,72+1,72+1,67+1,73+1,73+1,73+1,70+1,78+1,78+1,78+1,70+1,77+1,83+1,83+1,83+1,77+1,79+1,81+1,81+1,81+1,79+1
167664,https://sofifa.com/player/167664/gonzalo-higuain/15/157759,G. Higuaín,Gonzalo Gerardo Higuaín,26,1987-12-10,184,82,Argentina,Napoli,84,85,0,0,ST,Right,3,4,3,High/Medium,Normal,Yes,,,ST,9,,2013-07-27,2018,ST,9,81,84,68,80,30,71,,,,,,,Outside Foot Shot,72,89-1,76,70,81-2,81,72,62,55,83,79+1,82+1,72+2,82,60+1,83,73+1,70+2,80,76+1,50,25,87-2,70,77,,25,25,25,5-1,12-1,7-1,5-1,10-1,83+1,83+1,83+1,78+1,81+1,81+1,81+1,78+1,78+1,78+1,78+1,75+1,67+1,67+1,67+1,75+1,56+1,55+1,55+1,55+1,56+1,51+1,48+1,48+1,48+1,51+1
168435,https://sofifa.com/player/168435/salvatore-sirigu/15/157759,S. Sirigu,Salvatore Sirigu,27,1987-01-12,192,80,Italy,Paris Saint-Germain,84,85,0,0,GK,Right,3,2,1,Medium/Medium,Normal,Yes,,,GK,30,,2011-07-01,2018,SUB,12,,,,,,,85,79,73,87,51,84,GK Long Throw,25,25,25,23,25,25,25,25,28,25,50,51,52,78-4,55,42,67,34,66,25,34,20,25,25,33,,25,25,25,85-1,79,73,84-1,87,,,,,,,,,,,,,,,,,,,,,,,,,,
5479,https://sofifa.com/player/5479/iker-casillas-fernandez/15/157759,Casillas,Iker Casillas Fernández,33,1981-05-20,185,84,Spain,Real Madrid,84,84,0,0,GK,Left,4,2,1,Medium/Medium,Normal,Yes,,,GK,1,,1999-07-01,2017,GK,1,,,,,,,87,79,67,88,64,79,"Leadership, GK Long Throw, 1-on-1 Rush, One Club Player",25,25,25,21,25,25,25,25,22,26,65,63,62,80-1,46,26,77,43-3,70,25,23,25,25,25,24,,25,25,25,87-2,79-1,67,79-2,88-2,,,,,,,,,,,,,,,,,,,,,,,,,,
7763,https://sofifa.com/player/7763/andrea-pirlo/15/157759,A. Pirlo,Andrea Pirlo,35,1979-05-19,177,68,Italy,Juventus,84,84,0,0,"CM, CDM",Right,4,4,2,Low/Medium,Lean,Yes,,"#Playmaker  , #FK Specialist",SUB,21,,2011-07-01,2016,,,43,69,91,82,55,59,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",82-1,59-1,49-2,92,70-1,78-1,94+3,93+2,95,92-1,55,33-12,68-1,89,81,78,33,61+1,60-3,82,61-1,67-1,56,96+2,83-1,,43-2,59-4,63,5-1,4-1,1-1,5-1,2-1,67+2,67+2,67+2,76+2,74+2,74+2,74+2,76+2,81+2,81+2,81+2,79+2,82+2,82+2,82+2,79+2,71+2,76+2,76+2,76+2,71+2,65+2,61+2,61+2,61+2,65+2
45197,https://sofifa.com/player/45197/xabier-alonso-olano/15/157759,Xabi Alonso,Xabier Alonso Olano,32,1981-11-25,183,77,Spain,FC Bayern München,84,84,0,0,"CDM, CM",Right,4,4,2,Medium/High,Normal,Yes,,#Playmaker  ,LCM,3,,2014-08-29,2016,,,55,71,86,68,78,72,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",79,58-5,73,87-1,71,60-5,81,83,93-1,83-1,55,55,56,80-3,65,86,43,61+7,77,82,81,85-1,80,88-3,82,,74,81-1,70,7,8,10,10,10,71+2,71+2,71+2,73+2,75+2,75+2,75+2,73+2,78+2,78+2,78+2,76+2,82+2,82+2,82+2,76+2,75+2,82+2,82+2,82+2,75+2,76+2,76+2,76+2,76+2,76+2
53302,https://sofifa.com/player/53302/daniele-de-rossi/15/157759,D. De Rossi,Daniele De Rossi,30,1983-07-24,185,83,Italy,Roma,84,84,0,0,CDM,Right,3,4,2,Medium/High,Normal,Yes,,#Tactician ,CDM,16,,2002-07-01,2017,CDM,16,68,71,79,75,82,84,,,,,,,"Leadership, Long Passer (CPU AI Only), One Club Player, Team Player",69-1,63-1,84-1,85-1,74-1,73-1,67-1,71-1,83-1,81-1,69,68-1,69,82-1,69+1,81-1,78,84,84,77,84-1,87-1,68-1,79-1,75-1,,75-1,85-1,83-1,10-1,7-1,13-1,10-1,9-1,74+1,74+1,74+1,74+1,75+1,75+1,75+1,74+1,77+1,77+1,77+1,76+1,81+1,81+1,81+1,76+1,80+1,83+1,83+1,83+1,80+1,81+1,82+1,82+1,82+1,81+1
138956,https://sofifa.com/player/138956/giorgio-chiellini/15/157759,G. Chiellini,Giorgio Chiellini,29,1984-08-14,186,76,Italy,Juventus,84,84,0,0,CB,Left,3,2,2,Medium/High,Normal,Yes,,"#Tackling , #Strength",SUB,3,,2005-07-01,2015,,,76,51,55,56,87,86,,,,,,,"Long Throw-in, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Power Header",61-4,40-1,81+6,55-7,34-1,56-3,60-1,36-1,61-4,52-5,73+2,79,59,78-3,60,81-1,90,75,90+3,50-1,89+3,87-1,37-1,47-7,55-1,,89,87-2,87,3-1,3-1,2-1,4-1,3-1,59+1,59+1,59+1,57+1,58+1,58+1,58+1,57+1,54+1,54+1,54+1,59+1,60+1,60+1,60+1,59+1,73+1,73+1,73+1,73+1,73+1,79+1,83+1,83+1,83+1,79+1
139869,https://sofifa.com/player/139869/wesley-sneijder/15/157759,W. Sneijder,Wesley Sneijder,30,1984-06-09,170,67,Netherlands,Galatasaray SK,84,84,0,0,"CAM, CM, LM",Right,3,5,3,Medium/Medium,Normal,Yes,,"#Playmaker  , #FK Specialist",CAM,10,,2013-01-22,2016,LCM,10,75,80,87,84,48,63,,,,,,,"Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",83,76,46,87,78,84,88,89+4,89,87,76,75+1,82,77-2,85,86,51,71,61,84,62,49,75-4,90,80,,42,51,53,9,5,13,11,12,76+1,76+1,76+1,82+1,80+1,80+1,80+1,82+1,83+1,83+1,83+1,83+1,79+1,79+1,79+1,83+1,68+1,70+1,70+1,70+1,68+1,62+1,56+1,56+1,56+1,62+1
146562,https://sofifa.com/player/146562/santiago-cazorla-gonzalez/15/157759,Santi Cazorla,Santiago Cazorla González,29,1984-12-13,168,66,Spain,Arsenal,84,84,0,0,"LM, CAM, RM",Right,3,5,4,Medium/Medium,Stocky,Yes,,"#Dribbler, #Acrobat",SUB,19,,2012-08-07,2017,SUB,20,73,78,85,87,31,61,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,77,58,86,67,87,86,82,84,86,79,68,86,85,91,78,71,65,60+1,82,55,34,82,85,75,,22,31,28,6,9,5,7,15,77+1,77+1,77+1,83+1,81+1,81+1,81+1,83+1,84+1,84+1,84+1,83+1,76+1,76+1,76+1,83+1,60+1,63+1,63+1,63+1,60+1,53+1,47+1,47+1,47+1,53+1
148803,https://sofifa.com/player/148803/klaas-jan-huntelaar/15/157759,K. Huntelaar,Klaas-Jan Huntelaar,30,1983-08-12,186,83,Netherlands,FC Schalke 04,84,84,0,0,ST,Right,3,4,3,Medium/Medium,Lean,Yes,,#Poacher,ST,25,,2010-08-31,2015,SUB,19,68,85,64,72,32,73,,,,,,,"Beat Offside Trap, Finesse Shot",63,88,85,74,87,69-2,73,64,44,77+1,67-1,69-4,65,88,62-1,87+3,77-1,68-1,78,78+1,65,27,88-1,61,77,,20,33,23,7,12,6,9,11,83+1,83+1,83+1,73+1,80+1,80+1,80+1,73+1,76+1,76+1,76+1,69+1,64+1,64+1,64+1,69+1,54+1,55+1,55+1,55+1,54+1,52+1,50+1,50+1,50+1,52+1
162895,https://sofifa.com/player/162895/francesc-fabregas-i-soler/15/157759,Cesc Fàbregas,Francesc Fàbregas i Soler,27,1987-05-04,179,85,Spain,Chelsea,84,84,0,0,"CM, CAM",Right,3,3,3,High/Medium,Normal,Yes,,#Playmaker  ,RDM,4,,2014-07-01,2019,LCM,10,68,79,88,81,64,63,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",83,78,74,91-1,81,81,77,81,91-1,87-2,67,68,65,83,77,77,68,74,64,78-1,45,61,86-1,92-1,86,,62,66,62,6,10,8,15,15,79+1,79+1,79+1,82+1,81+1,81+1,81+1,82+1,84+1,84+1,84+1,83+1,83+1,83+1,83+1,83+1,74+1,76+1,76+1,76+1,74+1,70+1,67+1,67+1,67+1,70+1
182493,https://sofifa.com/player/182493/diego-godin/15/157759,D. Godín,Diego Godín,28,1986-02-16,186,78,Uruguay,Atlético Madrid,84,84,0,0,CB,Right,3,3,2,Medium/High,Lean,Yes,,#Tactician ,LCB,2,,2010-08-01,2018,LCB,3,67,48,62,60,86,78,,,,,,,Dives Into Tackles (CPU AI Only),55,42,87+3,73,47,53,49,51,69,67+1,64,69+1,62,81+1,58,67,83+3,73-3,78+1,43,84+1,86+1,48,52-6,50,,86+3,84+1,87+1,6,8,15,5,15,60+1,60+1,60+1,60+1,60+1,60+1,60+1,60+1,60+1,60+1,60+1,63+1,66+1,66+1,66+1,63+1,74+1,76+1,76+1,76+1,74+1,79+1,83+1,83+1,83+1,79+1
195864,https://sofifa.com/player/195864/paul-pogba/15/157759,P. Pogba,Paul Pogba,21,1993-03-15,188,80,France,Juventus,83,89,0,0,"CM, CAM",Right,3,4,4,High/Medium,Lean,Yes,,"#Distance Shooter, #Strength",LCM,6,,2012-07-01,2016,RDM,19,76,78,79,83,73,88,,,,,,,"Dives Into Tackles (CPU AI Only), Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",73-1,70-1,81,82-1,78-1,84-1,78-1,65-4,82-1,88+1,75,77,79,78-1,60,89+1,87+6,87+3,90+3,88+2,85+1,69+3,77-1,83+2,67-1,,63,79-2,83-2,5-1,6-1,2-1,4-1,3-1,80+1,80+1,80+1,80+1,81+1,81+1,81+1,80+1,82+1,82+1,82+1,81+1,82+1,82+1,82+1,81+1,78+1,79+1,79+1,79+1,78+1,78+1,79+1,79+1,79+1,78+1
197781,https://sofifa.com/player/197781/francisco-roman-alarcon-suarez/15/157759,Isco,Francisco Román Alarcón Suárez,22,1992-04-21,176,74,Spain,Real Madrid,83,88,0,0,"CAM, CM, LM, CDM",Right,2,3,3,High/Low,Normal,Yes,,#Dribbler,SUB,23,,2013-07-03,2018,SUB,22,76,76,82,86,32,62,,,,,,,"Finesse Shot, Playmaker (CPU AI Only), Outside Foot Shot, Technical Dribbler (CPU AI Only)",72-2,76-2,61,87,59,86-2,84,74,79-4,89,78,74,86,79,84,73,64,70,59,82,58,43,79-3,85,76,,25,23,26,10,8,12,15,6,76+0,76+0,76+0,81+0,80+0,80+0,80+0,81+0,83+0,83+0,83+0,81+0,76+0,76+0,76+0,81+0,60+0,63+0,63+0,63+0,60+0,53+0,46+0,46+0,46+0,53+0
186942,https://sofifa.com/player/186942/ilkay-gundogan/15/157759,I. Gündoğan,İlkay Gündoğan,23,1990-10-24,180,79,Germany,Borussia Dortmund,83,87,0,0,"CM, CDM, CAM",Right,3,4,4,High/Medium,Normal,Yes,,"#Dribbler, #Playmaker  , #Acrobat",SUB,8,,2011-07-01,2016,,,79,70,83,86,67,70,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",73,65,54,87-1,76,87,82,74,84,86,82-2,77-1,86,86,84,76,63-1,65-9,73-1,73,68,81,73,86,72,,58,71,67,11,14,5,5,13,74+1,74+1,74+1,81+1,78+1,78+1,78+1,81+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,82+1,76+1,78+1,78+1,78+1,76+1,72+1,69+1,69+1,69+1,72+1
193080,https://sofifa.com/player/193080/david-de-gea-quintana/15/157759,De Gea,David De Gea Quintana,23,1990-11-07,193,82,Spain,Manchester United,83,87,0,0,GK,Right,3,3,1,Medium/Medium,Lean,Yes,,,GK,1,,2011-07-01,2016,SUB,13,,,,,,,87,75,86,88,53,76,Puncher,25,25,21,31,25,25,21,25,32,31,51,55,57,78,43,31,67,25,64,25,38,30,25,25,40,,25,21,25,87,75,86,76,88,,,,,,,,,,,,,,,,,,,,,,,,,,
